编号,酒店名称,评论信息,备注,评论人,评论日期,评分,情感倾向
687,亚朵酒店,很垃圾的一家酒店，大冬天房间像蒸桑拿，完全不配这个价格。前台拽的要死，脸臭的我以为我去机关办事呢,,东xx玉珍,2022-03-17,1,负向
688,亚朵酒店,酒店只是虚头，骗外地人，连出租车司机都找不到，房间矮，小，压抑。性价比太低,,晨xx玉英,2022-08-22,1,负向
689,亚朵酒店,太差了，入住时前台两位服务员还说一些PUA的话，着实让人恶心,,玉华xx静,2022-02-23,1,负向
690,亚朵酒店,"1.上海city go 硬装最差一个酒店，体现在一楼大厅休息室和餐厅在二楼非常小_x000D_
2.公共洗衣机非常破就一台其他店不是这样_x000D_
3.服务非常差前台人员和态度与其他店区别实在太大了。_x000D_
4.房间卫生不过关，然后所有房型电视上方光源太过于压抑",,春梅xx波,2022-03-26,1,负向
691,亚朵酒店,"房间布局不合理 像住集体宿舍一样_x000D_
早餐也没有 下次不会住了",,刚xx琳,2022-11-25,2,负向
692,亚朵酒店,有升房卷，没给我升级，算了没事，房间与宣传照片不符，小的可怜，床头边上是马桶，对着马桶睡了一夜，好歹有个帘子行不行？实际测量房间大小为10平方米，入住的时候前台和我说，白天隔壁施工有噪音，晚上会很安静，好家伙，一晚上，整整一晚上，我就觉得电梯在我脑门边上运行了一夜！！！,,芳xx龙,2022-11-25,1,负向
693,亚朵酒店,洗漱台卫生很差，房间很小，住过最差的酒店,,洁xx健,2022-12-04,1,负向
694,亚朵酒店,房间小没窗户，卫生间没私密性。位置还不错,,梅xx欢,2022-11-30,1,负向
695,亚朵酒店,出行非常方便，出门就是地铁站。酒店比较老，设施陈旧。其余还好,,彬xx建平,2022-03-14,3,正向
696,亚朵酒店,蚊子太多，晚上耳朵边都是蚊子声，叮了好多口,,婷xx慧,2022-05-10,1,负向
697,亚朵酒店,房间超级小  设施老旧 房间还有烟味,,雪梅xx柳,2022-03-31,1,负向
698,亚朵酒店,房卡不好用 做了好几次还是不好用 房间隔音太差,,冬梅xx瑜,2022-08-01,1,负向
699,亚朵酒店,"房间较小，晚上睡觉太闷了。_x000D_
热得一晚没睡。",,娜xx磊,2022-06-23,1,负向
700,亚朵酒店,隔音差，半夜隔壁有人一直大喊大叫,,浩xx荣,2022-02-19,1,负向
701,亚朵酒店,隔音太差，豪华房间太小，携程房间照片跟实际房间相差大，窗户太小，服务不好，早上要个洗漱用品就一个，说剩下的一会送来，半个小时也没人送，那有那么多时间等，送餐机器人晚上也不安排送,,金凤xx艳,2022-11-11,1,负向
702,亚朵酒店,房间香味太重，听得到地铁声！,,利xx桂珍,2022-01-05,3,正向
703,亚朵酒店,太脏了，房间很重厕所味。,,琳xx桂荣,2022-12-09,1,负向
704,亚朵酒店,上海前几天下雨，这几天晚上室外气温15度，中央空调只能吹冷气，不开空调就冻着，开空调就更冻着，说是有的客人嫌热，搞不搞笑？我就想问热为什么要开热风？你开窗户或者换气就可以了！然后要不我加个被，你冬天加几个被在外面就可以睡了吗？所以我就只能在这冻着睡？,,玉珍xx芳,2022-05-09,1,负向
705,亚朵酒店,"以前一直对欢阁印象挺好的，没想到这家店让我对品牌大失所望，最后还是携程客服体现出专业，为我考虑_x000D_
1.我开车到酒店门口遇到停车场不让进问题，问了一声保安亭里的保安，他打开窗户说了一句什么没听清楚，就关窗继续玩游戏，我在喊他也不理我，我等在入口处30分钟，他也没出来和我交流_x000D_
2.我电话给酒店前台，前台可能挺忙的，随便和我说几句后，说停车场是物业的，不归他们管，说去和物业沟通，然后就不管我了_x000D_
最终我在门口等了30分钟，晚上11点10分开始等到40分，我给携程客服电话，客服帮我去联系并且承诺我10分钟内给我反馈，很准时的帮我处理问题_x000D_
3.酒店出来一个工作人员，和我说需要绕路进停车场_x000D_
4.酒店员工提出补偿我的方案，一开始说帮我免费升级房型和送我早餐，可我买的订单内已经包含，于是说那帮我免费付停车费，这个酒店的停车是要客人自己付费，每天20元1次机会（20元住客自己付，酒店承担其余150多元费用，因为停车场不是他们的），我也是第一次遇到住酒店需要另外支付停车费的，而且20元这个还就一天一次，就是说你一天里第二次开车进出酒店，第二次就没有酒店补贴，你该出多少停车费，你就要自己全额付_x000D_
所以酒店最终给我的补偿就是20元停车费，携程客服为了表达对我的理解，还返现我100元的补偿，欢阁就只能这样，有史以来最差的一次体验",,宁xx林,2022-07-23,1,负向
706,亚朵酒店,"一般都是系统默认好评的人，从来没有这么用心写过这么长的评论，还是差评的！！！！就想劝解一下诸位不要被照骗。这么高的评分绝对是刷的！同时希望酒店管理层重视赶紧挽救你们的服务。体验太差。_x000D_
_x000D_
住过两次深圳的南山CITIGO，无论是环境、设施还是服务都非常满意，因此在上海选择citigo时并没有犹豫，结果被狠狠打脸，没想到同是大城市同一品牌，结果无论是设施还是服务都天差地别。_x000D_
_x000D_
首先是服务：晚上十一点多到底服务台就看到一群入住客人围在前台，大家都因房间没有妥善安排甚至自己订的房型没房间了而抱怨，有换房的客户还是下午就到店提前预约过的，酒店说房间还没打扫好，结果到了晚上就说没房间了。前台小哥只知道推脱说是白天的前台没有安排好，把锅都甩给了自己，他也没办法，根本没有维护酒店形象、尝试努力解决问题的积极度，说明酒店无论在员工选择还是培训上都没有跟上。服务槽点后续还有。_x000D_
_x000D_
其次是设施：前厅很局促与深圳南山开阔空间不同，也没有休闲酒吧区，这个可以理解为场地限制，也可以说是前期提出设计要求时根本没有把这个功能需求考虑进去。这没什么，结果在满心期待等了快二十分钟终于拿到房卡到达自己房间时，我惊呆了！！！住了二十年各种酒店，头一次遇到房间这么小这么小的，窄到不能再窄。床前得侧身贴墙才能过身，淋浴房就半个浴缸大小，挪不开身，介绍图片就是个照骗。可以想到当初设计时为了能塞下更多房间，策划者是多么用心。_x000D_
_x000D_
这还不算什么，房间居然电视机安装位置还是空的！！！打电话去前台说不好意思忘了提前跟我说电视机坏了去修了，补充我送餐券，我本来就订的带早餐根本没用。等了半个多小时后催，回答经理说第二天给我们房间升级，我住一晚的哪来第二天？又等了半小时催，说降价，问降多少又不知道，再等了半小时多，都临晨一点多了。我们都困的不行等不了想洗漱睡了，姗姗来迟的打了电话过来说帮我们从其他地方搬个电视过来。那一早不知道就用这个方案吗？解决一个问题要花一个半小时，我也真的是无语。_x000D_
就这种环境和服务还收五百的房价，不知道哪来的脸，这家酒店直接黑名单。",,林xx丽丽,2022-08-31,1,负向
707,亚朵酒店,"进门就看到洗手间地板上一坨头发；夜里一点多回到酒店，相连的几个房门口好几台保洁清扫车在那儿摆着；早上七点钟，一群保洁开始叽叽喳喳高声闲聊；房间隔音差得简直要了亲命了，说什么干什么听得一清二楚…_x000D_
_x000D_
打前台反馈也没什么用，前台只会说抱歉然而状况没有任何改善。check out的时候再跟你说，下次来入住给升房型……excuse me还有下次？",,冬梅xx建军,2022-06-23,1,负向
708,亚朵酒店,大堂都没有空调，办理入住时候体感就很不舒服，然后入住后电话也是坏的，电视网络连接也很慢，不能投屏，房间也根本没有描述的20平方，晚上睡觉的时候外面也在装修修马路，早上四五点又开始装修修马路，吵得睡不着。总之是比较差的一次入住体验了,,萍xx文,2022-04-12,1,负向
709,亚朵酒店,酒店是挺好的 前台人有问题的 说话两面派 服务是真不怎么样 或许她们不明白自己只是前台 也许是富二代出来体验生活 哈哈 你觉得自己是吗？,,春梅xx建平,2022-01-16,3,正向
710,亚朵酒店,这种品牌酒店豪华房居然小到没地方挂浴巾，连洗漱盆都是和床一个屋子，连个隔断都没有，离床的距离不到5步的位置。浴巾也没地方挂。前台态度特别差，花钱受罪。,,丽xx艳,2022-03-20,1,负向
711,亚朵酒店,"糟糕非常差劲避雷 千万别住……………………_x000D_
_x000D_
房间小。zzzz…………………………………………………………",,丽华xx秀兰,2022-06-28,1,负向
712,亚朵酒店,很多灰尘，位置不好做车,,红xx斌,2022-09-07,1,负向
713,亚朵酒店,建议有呼吸需求的朋友们还是不要预订内窗房了 真的很闷兄弟们！大虫虫就不说了 我们下次一定不再贪便宜了呜呜呜呜呜呜呜呜呜,,璐xx秀梅,2022-05-14,1,负向
714,亚朵酒店,房间小，同价位全季会好点，二楼大厅很吵，房间隔音不好，续住打扫换的浴巾竟然有血迹，这个是真的受不了……,,亮xx成,2022-03-15,1,负向
715,亚朵酒店,感觉对不起这个价格，而且前台也不事先告知早餐要额外收费，加了几十块钱升级了豪华房跟普通的也没什区别,,金凤xx辉,2022-01-21,1,负向
716,亚朵酒店,小朋友手被划伤了受伤了，在餐厅的柱头上的不锈钢边割伤了，包边很锋利，虽然帮忙一起清洗伤口，但是从头到尾没有一句致歉！！！！,,杨xx小红,2022-10-27,1,负向
717,亚朵酒店,"太闷了 不太通风 房间&走廊都有味道_x000D_
上海很大有很多酒店 绝对不会选择这间",,桂荣xx秀兰,2022-01-19,1,负向
718,亚朵酒店,第二次入住，上次发现的问题，这次更严重，卫生真的不行，房间味道很大，第一间房直接把我熏到干呕（隔着口罩），换了一间还是有味道但真的累了，不想爬楼梯换房（电梯坏了），一晚上开窗过的，早上很冷但总比被臭味呛好。床边的小饼干居然被吃过，其中一个枕头有廉价的香水味，估计有人睡过又换房间了。厕所马桶坐垫上又双叒叕有尿渍，手机拍不出来，里圈有shi。难道是我要求太高了？？反正不会再住第三次了。,,淑英xx娟,2022-06-17,1,负向
719,亚朵酒店,环境服务都不好,,岩xx丹丹,2022-01-14,1,负向
720,亚朵酒店,"啊，真的不想再来第二次了_x000D_
虽然位置不错，就在大悦城对面_x000D_
但是设施真的太垃圾了_x000D_
房间极其小，小到一张凳子都没有_x000D_
卫生间就像一个笼子，小到转个身就会碰壁，毛巾和换洗衣服只能放在外面的洗手台上，但是洗完澡出来穿只能拉上一个若有似无的纱帘，走光是分分钟，要是跟不熟的朋友或者异性朋友同住，简直尴尬到奶奶家了，更不用说可能会诱导一些不应该发生的事情！_x000D_
内窗，隔音极差，隔壁的动静一清二楚，练手机震动都可以听到！_x000D_
头顶墙上类似上海话角，写满上海话的拼音，睡不着看到可能会xxxx！_x000D_
这些也就算了，最过分是空调晚上会自己关掉！被热醒，发现空调停了，再次打开，20度冷风竟然没有走道凉快，整个房间闷热逼仄_x000D_
_x000D_
最差的入住体验，招待所的等级吧，太难了",,莹xx红霞,2022-06-01,1,负向
721,亚朵酒店,真的是住过最差的欢阁了 酒店大厅非常非常小 也没有介绍里说的喝东西的地方 免费宵夜都没有 房间本来就小 就为了酒店的其他设施去的 结果什么都没有 体验极差 本以为citygo的水准应该差不多的 完全没有在北京的体验好 非常压抑 总之再也不住这家店了,,丽华xx淑华,2022-01-18,1,负向
722,亚朵酒店,本来是很满意的，结果因为入住一晚，把千里迢迢，给孩子带睡觉盖的，白色纱布橘色图案的小毯子丢了，酒店说找不到了，收拾客房的时候看不到么？从晚上九点发现多次致电，一直到十一点，沟通还是找不到，真失望。,,欣xx伟,2022-01-03,1,负向
723,亚朵酒店,房间真的很小 卫生间和淋浴间用起来很不方便 空间小 室内也没有空气净化的装置 服务台小哥服务态度真的很一般，有一位小姐姐很好 个人选择 下次应该不会选择这类型酒店了 窗户旁边风真的很大 晚上睡觉的时候,,坤xx荣,2022-04-08,4,正向
724,亚朵酒店,很抱歉让你入住期间有不愉快的体验。在上海市中心寸土寸金的地方，我们努力在力所能及的范围内给你最好的入住体验，酒店房间虽小，五脏俱全，房间内所有物品全都是经过精挑细选的好物哦，希望你可以住的舒适，用的安心。我们酒店对于服务很看重，对于你所说的态度一般，方便形容一下小哥及事情经过吗？我们也好进行针对性的培训，避免再次出现这种情况，再次抱歉，祝你生活愉快,,畅xx玉梅,2022-11-23,2,中性
725,亚朵酒店,楼层充满了下水道的味道飘进房间里。槽点太多。一句话说就是：标四星?比三星还差。,,淑英xx梅,2022-10-25,1,负向
726,亚朵酒店,房间灰很多,,伟xx桂香,2022-11-11,1,负向
727,亚朵酒店,"一晚上睡不了觉 本来只想给一星 但是前台和服务人员态度都很好 _x000D_
酒店天花板有一个很大的通气口 非常的吵 听服务员说只要是内窗的房间都有 打电话给前台 维修人员给的解决办法就是拿餐巾纸吸上去 但是还是非常的吵根本睡不了觉 房间还是有味道 开着窗户和门散了很久的味道 房间的空间很小 还有洗手台装修的不好 我住的房间洗脸的水漏不下去 流了满地的水一晚上都干不了 酒店的位置不算难找 免费停车场很大",,亮xx畅,2022-07-19,1,负向
728,亚朵酒店,图片看上去挺大的，其实很小，订的1.8m的床的房间给的1.5m的还不承认，让退差价也不肯，虽然就20几块钱，反正不推荐……性价比不高,,淑华xx玉珍,2022-08-29,1,负向
729,亚朵酒店,五点通知保洁打扫三个小时无人收拾，催保洁催前台无回应,,勇xx磊,2022-03-25,1,负向
730,亚朵酒店,昨天晚上入住，们外面一直都有声响，然后因为空调开着，也有响声。只要是昨晚门外面总是有声音，压根儿没睡好。烦都烦死了。,,欣xx建平,2022-08-08,1,负向
731,亚朵酒店,选的是豪华大床房，然后还是很小，第二天要求换个房间，说可以大一点，换好以后发现差不多，第一天的房间还有一张小圆桌，第二天的房间就是小圆桌没了然后空了点。然后第二天的房间里，牙具梳子都是没有的，难道要从第一天的房间里带上？我是不知道了，后来还是打电话再让他们送过来的。洗澡的时候又发现两条浴巾都是方方正正折好的，但是！夹着两根头发，我也不知道这是不是礼物还是惊喜。我很严重怀疑他们都没有清洗过这些毛巾，直接上个房客用过以后折好就算了。然后还是打电话给前台送过来的。最后要睡觉了。真的天大的惊喜，爬出了一只蜘蛛，因为已经十二点多了，也没有打电话给前台，男朋友直接徒手捏死扔了。本来困死的我是被吓的很清醒了，真的谢谢。卫生真的很差，翻开床垫，可以看到席梦思的边上都是脏东西，我眼不见为净的还是睡了。哦对了，免费咖啡必须要银卡以上才能喝，我厚着脸皮问了咖啡，她说我不是银卡会员，不能喝。,,颖xx丽丽,2022-09-22,1,负向
732,亚朵酒店,"优点:离地铁口近，卫生还可以，酒店比较新_x000D_
缺点:1.房间小的可怜，估计只有12平方左右，转身都难。_x000D_
          2.设备及简，衣服洗后，凉衣服的地方都没有_x000D_
          3.说是艺术酒店，其实就画几个看不懂的英文算不上艺术吧？_x000D_
          4.周边连个便利店都没有，卖瓶水跑老远_x000D_
          5.可能是华住会的作品，跟汉庭很类似，只是刚装修的，价格贵点",,红霞xx俊,2022-10-15,1,负向
733,亚朵酒店,房间智能设施还行 但是房间太小了 床也小 没有早餐,,俊xx志强,2022-07-05,1,负向
734,亚朵酒店,办入住时给了间窗户非常小的房间，前台给换了窗户稍大些的，感觉还是不通风，有些压抑，感觉跟价格有些失望，地段还是不错哦,,浩xx磊,2022-11-21,1,负向
735,亚朵酒店,房间特别小，价钱又不便宜，还没窗户，窗户小小的闷死了，全都是那个地毯的甲醛味，住里面头都是晕的，住在里面影响心情！是帮他吸收甲醛的！早餐也特别难吃！,,雪xx飞,2022-05-14,1,负向
736,亚朵酒店,出差这么多年最差的酒店服务！没有之一！所有房间wifi都没有信号，电视没网络，窗户关不上！联系前台联系不上，酒店电话要转很多次，然后打了五六个电话都没人接，在忙。管理真的太差太差。前台一副你爱怎样怎样的表情。,,芳xx倩,2022-01-28,1,负向
737,亚朵酒店,先说缺点：房间十分十分小，房间中恶臭和恶香交相辉映。窗户估计就脸大，要求退房十分不爽快，最后支付20%补偿金才给予退房。优点是带免费底下停车库，酒店有一定设计。当时比较急，也是看到可以停车就直接定了。但房间十分不满意。,,华xx桂兰,2022-02-09,1,负向
738,亚朵酒店,房间太小了。开始给的房型有12平米没有？我第二天提出质疑，我定的是高级大床房，20平的，你们给我的和订单上图片都不一致。换了个房间，至少外观和图片一致了，但是还是超小。这个酒店房间太小了，440根本不值。上海酒店可选的多了，以后不会再选citigo。,,玉珍xx婷婷,2022-02-18,1,负向
739,亚朵酒店,建议不要入住太差了，一夜无眠起早退房了，房间里味道很臭，实事求是说,,桂荣xx建军,2022-12-01,1,负向
740,亚朵酒店,房间的窗户对着通道，房间很压抑很闷。前台服务态度很好。,,淑兰xx楠,2022-10-05,1,负向
741,亚朵酒店,只能说吃了地理位置比较好，没有其他的优点了，性价比极低，浴巾有毛絮，房间里一股味道都已经可以忽略了，总不能忍的是房间正对床头的天花板上的通风口，吵的可怕，一晚上没睡，老清早受不了给前台打电话要求第二晚换房，以为换了可以安稳的补个觉了，结果，排风的声音没了，开始哗啦啦水声了，这个声音从半夜02:00持续到5:30…头疼的两个晚上，第三天赶紧换酒店。更别提第二个晚上居然响了火警警报，吓xx了，电话问前台说是设备故障，警报响了十分钟不打电话到前台询问也没有工作人员主动沟通，整层住客都开门出来看什么情况，全程见不到一个店员，无语。,,秀华xx凤英,2022-08-20,1,负向
742,亚朵酒店,太吵，房间隔音也不行！卫生有待改善，我和女儿睡了一晚身上都痒，第二天果断换了酒店。,,娟xx桂花,2022-10-16,1,负向
743,亚朵酒店,屋里潮湿 不卫生 太差了严重和价格不匹配 还豪华大床房呢,,凤英xx秀华,2022-07-02,1,负向
744,亚朵酒店,酒店装修还是蛮有特色的，风格比较适合年轻人住。但是不得不说，设施实在是落后，400多的酒店，电视只能看直播，不能连网，而且还经常和老式电视机一样，一卡一卡的信号卡顿。然后隔音是真的差，住的房间刚好靠另一幢正在整修的房子，打桩声音震耳欲聋，问了前台告诉我，晚上6点以后和早上9.10点以前是不能装修的，我也就没要求换房间，结果第二天一早7点多被吵醒，对于爱睡懒觉的朋友来说简直是煎熬。。。。,,建军xx婷婷,2022-09-17,1,负向
745,亚朵酒店,半夜开房早上旁边装修施工很吵也不告知，不是地段好这价格完全不值。,,玉兰xx柳,2022-07-24,1,负向
746,亚朵酒店,体验感最差的一次酒店 定的豪华大床房 也不知道不知道豪华在那里了 房间小的可怜  厕所还是玻璃门 一点点遮的都没有 我想不管是情侣还是夫妻上厕所多多少少有点害羞吧 厕所很小做了干湿分离 然后并没有用 水全部好流到马桶边 上厕所还差点摔了洗澡的热水就不要说了 简直无语死了 热水温度最高也就是固定温度是40度 想洗个热水澡都不行 而且喷头设计的也无语 不想洗头的 一下子不小心就可以成落汤鸡 房间隔音效果也不好 主要房间还一股烟味 臭的很 更无语的是空调设计的对着头吹  吹的头痛 4.7分的好评不知道哪里来的,,秀云xx颖,2022-08-27,1,负向
747,亚朵酒店,住在5楼  酒店新装修的味还没散去 早上6点半楼下开始施工 声音关着窗户还巨大 寻求酒店帮助 前台只有个保安 领导8点上班后 说给延长退房 作为补偿 然而13点噪音还是太大  14点离开 还让我给好评,,飞xx玉华,2022-02-26,1,负向
748,亚朵酒店,各方面太差了  服务态度特别差 上海这么大的城市就这样服务态度吗？ 还不如小城市呢,,海燕xx柳,2022-06-02,1,负向
749,亚朵酒店,展示图片仿佛p过一般，将二十多一点的房间拍成四十平的效果。本来按照评分顺序选的，一看4.8分挺高没多想就订了，结果一进酒店失望透顶。先是门店位置实在隐蔽，以为是自己找不到，后来进了大厅发现也有顾客在电话问前台，说找不到位置。房间布局极其不合理，进门手边就是洗漱缸，边上就一块小区域，放个水杯电水壶就没地了。厕所门是透明玻璃，紧挨着床，可以和蹲马桶的人眼神交流那种，即使是老夫老妻也会嫌尴尬吧。床不大勉强算普通双人床，床单被子十分潮湿，躺了一会儿腿就开始发痒，晚上宁可盖浴巾也不愿意盖被子。说好的早餐迟了半小时才送到，没地儿吃只能用手端着，水果都挤着放洗漱里了。对了，我们住的可是豪华大床房哦~,,凤英xx秀英,2022-01-29,1,负向
750,亚朵酒店,房间太小，双人间有异味，卫生状况一般，地段不错，闹中取静。,,兰英xx红,2022-06-22,3,正向
751,亚朵酒店,酒店的电视不好用，不可以投屏！Wi-Fi也很慢很慢！房间很小，豪华双人床都很小！,,桂珍xx倩,2022-04-12,1,负向
752,亚朵酒店,"地理位置还可以 房间非常小 连衣架都没有_x000D_
客房服务太差了 叠毛巾铺床非常敷衍 不知道有没有换还是只是叠起来了 淋浴间和洗手间使用完了之后也没有打扫 从没体验过这么敷衍的客房服务",,俊xx玉,2022-06-11,1,负向
753,亚朵酒店,"常年差旅，唯一一次超级滑稽的体验！_x000D_
1入住登记，前台说是携程预订的，要不要退了注册我们官网会员，便宜！这是什么行径？！隔壁客人也遇到同样套路，当场就说你们店价比携程贵，不要你的会员！_x000D_
2入住 给525房！上楼，开不了门，下楼去前台，答复原话“525，对，门是刷不了卡的，你先上楼，我让服务员开！我说好，上楼，等了几分钟，没人来！没人来开门！下楼要求不住了！退单！这下态度好了，先生对不起，我们失误，为你升级，给你最好的房！我没多说一句话！我再次好耐心，上楼！313！此房间没问题！但是是最好的房吗？至少有比这件大的 朝向安静的，不是转角尾房的！我不贪图小利！我只要正常的服务 该有的房间！骗我？好欺？_x000D_
3 前台服务态度普通 会说你好 但是口气很生硬！_x000D_
我不是什么挑剔客户 但也不能欺诈我！_x000D_
4携程预订大床房，现实有窗，实际前台说内窗！_x000D_
好了！没话说！不是什么好的酒店！",,霞xx丽华,2022-12-25,1,负向
754,亚朵酒店,房间太小了，两个人无法转开，本来还比较热的季节，不开空调房间也热到崩溃，通风不好，周围有个工地楼下是酒吧，晚上吵爆了,,洁xx玉,2022-05-09,1,负向
755,亚朵酒店,半夜到，要求安静，给了252房间。不是最吵的一间就算安静？入住凌晨了那么多空房又不是没房间！早晨果然被小孩们早餐闹醒了,,峰xx小红,2022-08-19,1,负向
756,亚朵酒店,差评，不能在线申请开发票；住了7天，同城地址要个发票，还要收快递费，这么抠的酒店吗？,,凤兰xx丹,2022-07-11,1,负向
757,亚朵酒店,很抱歉让你入住期间有不愉快的体验，对于你提出的问题我们已经培训整改，期待你的下次入住，我们会提前帮你开好发票，避免耽误你的时间，期待你的再次光临。,,艳xx娟,2022-08-02,1,负向
758,亚朵酒店,第一天的特价房255元，8218号，房里的出风口真的太吵了.完全无法睡觉.、其二：都2020年了、电视机居然不能联网！！！窗户是靠内的..洗澡的还可以,,斌xx洋,2022-03-11,1,负向
759,亚朵酒店,"服务人员素质非常差、房间小、各方面都非常差！！！_x000D_
非常糟糕的一次住店体验，还会告诉我的朋友，这家酒店很差！！！_x000D_
永远不会再住这家酒店。",,荣xx畅,2022-11-22,1,负向
760,亚朵酒店,房间比较小，而且有味道，边上的工地一直在开工，比较吵，早餐一般，但是时间长7点到12点，晚上有免费宵夜,,晶xx楠,2022-06-29,1,负向
761,亚朵酒店,失信酒店！办理铂金会员的时候，服务人员告知在华住集团所有酒店，会员本人可以免费吃早餐，本酒店不允许吃早餐，房间很小！,,桂花xx欢,2022-07-01,1,负向
762,亚朵酒店,房间特别小，有点小旅馆的感觉，不值这个价格,,红梅xx亮,2022-12-06,1,负向
763,亚朵酒店,建议体重超过160斤、身高超过175的男女携友换个酒店，因为，这个袖珍的房间你实在转不开。????,,红xx淑华,2022-12-07,1,负向
764,亚朵酒店,太过分了！！！近期无法提供发票怎么不在携程上说明呢？导致我无法报销的后果谁来承担？！！！这就是欺诈消费者！,,红梅xx楠,2022-08-12,1,负向
765,亚朵酒店,房间太小，不符合这个价位，人都转不开。建议大家不要去住。我入住的时间太晚了，否则我就换酒店了。,,明xx淑珍,2022-04-11,1,负向
766,亚朵酒店,空气质量不好，被子有粉尘,,兵xx勇,2022-10-25,1,负向
767,亚朵酒店,早餐我们有一份也说没有 要了咖啡不情愿的给我们一杯 房间根本不符合图片 价钱比我们住在海伦宾馆还贵,,帅xx佳,2022-12-01,1,负向
768,亚朵酒店,早上还在睡觉被服务人员刷门卡硬闯进来吓xx了！,,利xx利,2022-09-21,1,负向
769,亚朵酒店,"被好评骗了_x000D_
酒吧不开，咖啡半杯，早餐普通，淋浴平凡，房间巨小！比日本的酒店还小！",,伟xx凯,2022-10-18,1,负向
770,亚朵酒店,异味……整个楼层都是洗手间的味道,,春梅xx帆,2022-08-11,1,负向
771,亚朵酒店,卫生较差，卫生间设计太不合理,,金凤xx欢,2022-11-27,1,负向
772,亚朵酒店,面积太小了，14平米差不多，空调温度很不舒服,,峰xx杨,2022-08-21,1,负向
773,亚朵酒店,房间太小了，选择需谨慎，其它也不是太好,,艳xx成,2022-01-23,1,负向
774,亚朵酒店,房间小到无语,,林xx浩,2022-04-07,1,负向
775,亚朵酒店,不太推荐入住,,刚xx芳,2022-10-16,1,负向
776,亚朵酒店,打扫不铺床 前台人员服务态度恶劣,,瑜xx建,2022-12-05,1,负向
777,亚朵酒店,不太好卫生环境还有很多头发。,,俊xx倩,2022-01-03,1,负向
778,亚朵酒店,房间很小 身份证诡异丢失,,柳xx阳,2022-08-27,1,负向
779,亚朵酒店,广告宣传很好！就是什么没有！！！,,东xx玉兰,2022-12-07,1,负向
780,亚朵酒店,前台和工作人员太耽误事,,坤xx琴,2022-09-01,1,负向
781,亚朵酒店,房间非常小，空调温度如果不高，有异味。,,倩xx金凤,2022-04-10,1,负向
782,亚朵酒店,房间太小了 床单都是灰尘,,佳xx红梅,2022-09-05,1,负向
783,亚朵酒店,早餐种类太少，房间存在装修味道,,春梅xx波,2022-03-05,1,负向
784,亚朵酒店,无法手机遥控电器，房间偏小。,,玉珍xx建平,2022-01-03,1,负向
785,亚朵酒店,这个酒店太差了 不会定再订二次了,,玉珍xx军,2022-04-27,1,负向
786,亚朵酒店,太差了 去了就后悔,,敏xx华,2022-06-22,1,负向
787,亚朵酒店,一般般了！,,宇xx林,2022-08-19,2,中性
788,亚朵酒店,空间很小，有味道,,磊xx玉,2022-04-02,2,中性
789,亚朵酒店,中央空调漏水？？？,,桂芳xx利,2022-10-08,1,负向
790,亚朵酒店,地理位置没话说，步行两分钟到南京东路步行街。十五分钟到外滩。但是有几点，定的钟点房，7点58到前台办理入住。前台说一定要到八点。因为就几分钟所以我就站在前台玩手机。被人插队，办理入住前后花了半个小时。垃圾。室内设备肉眼可见的差，中央空调不给力。大厅里面睡着几个满身异味的男士。,,秀英xx秀兰,2022-04-22,1,负向
791,亚朵酒店,房间内超级阴暗，卫生很差劲，屋里还有脱落的墙皮，洗浴间里仍留有上位客人留下的使用过的香皂甚是恶心，望大家慎入住！,,丹xx淑兰,2022-04-18,1,负向
792,亚朵酒店,"这个酒店前台服务人员态度有很大问题，第一天住读后我在房间给前台打了n个电话都无人接听，然后第二天的答复是前一天马上给我回电话了被我挂掉，我是一个人住的，前台一定说是我带着小孩，电话是小孩挂的，没接电话还要撒谎，无法理解。_x000D_
前台工作人员有不戴口罩的，提醒了之后强词夺理说现在早就没有疫情了，为什么要戴？工作失误之后，非常阴阳怪气对我说“对不起，行了吧？”，这样的服务态度不知道是怎么培训和管理的。_x000D_
第一天下午入住之后，发现书桌下面的垃圾桶里有之前客人留下没有清理干净的N95口罩。_x000D_
卫生间的电源口不仅没有保护罩，卫生间空气潮湿，这样容易漏电而且插上电吹风和卷发棒都是松动的，需要用手扶着固定才能保证一直通电，非常危险。_x000D_
房间空调是坏的，房间温度高达30度，住起来非常不舒适。_x000D_
房间有一个空气净化器，插上之后，PM2.5一直是超高的数值，直接到了好几百（其实最高到了700多，图片是500多的时候拍摄的），而一直在亮红灯，不知道这个房间到底空气有多差，可能已经对我的身体健康造成了威胁。",,桂荣xx坤,2022-11-12,1,负向
793,亚朵酒店,环境很差，房间灯光特别特别暗，天花板发霉，卫生间门板翘起来。定了两个晚上，第二天叫了两次前台帮收拾下垃圾桶，答应了却直到退房都没来打扫，体验感不佳，非必要不入住吧。,,淑英xx玉,2022-04-06,1,负向
794,亚朵酒店,服务：服务不是很好，刚入住的时候听到前台在那议论顾客，牙刷也没有放，还要我自己下去拿，洗发水洗发露都是过期的，房间很小，不通气，体验感?,,建xx建国,2022-01-02,1,负向
